P=5.0 I=0.0 D=0.0
Time,Temperature
2019-11-25 18:06:04,31.66
2019-11-25 18:06:06,31.66
2019-11-25 18:06:08,31.66
2019-11-25 18:06:11,31.66
2019-11-25 18:06:13,31.66
2019-11-25 18:06:15,31.67
2019-11-25 18:06:17,31.67
2019-11-25 18:06:19,31.67
2019-11-25 18:06:22,31.67
2019-11-25 18:06:24,31.67
2019-11-25 18:06:26,31.67
2019-11-25 18:06:28,31.66
2019-11-25 18:06:30,31.66
2019-11-25 18:06:33,31.66
2019-11-25 18:06:35,31.65
2019-11-25 18:06:37,31.65
2019-11-25 18:06:39,31.63
2019-11-25 18:06:42,31.62
2019-11-25 18:06:44,31.61
2019-11-25 18:06:46,31.6
2019-11-25 18:06:48,31.58
2019-11-25 18:06:50,31.56
2019-11-25 18:06:53,31.54
2019-11-25 18:06:55,31.52
2019-11-25 18:06:57,31.5
2019-11-25 18:06:59,31.48
2019-11-25 18:07:01,31.46
2019-11-25 18:07:04,31.44
2019-11-25 18:07:06,31.42
2019-11-25 18:07:08,31.4
2019-11-25 18:07:10,31.37
2019-11-25 18:07:12,31.35
2019-11-25 18:07:15,31.32
2019-11-25 18:07:17,31.3
2019-11-25 18:07:19,31.28
2019-11-25 18:07:21,31.25
2019-11-25 18:07:24,31.23
2019-11-25 18:07:26,31.21
2019-11-25 18:07:28,31.18
2019-11-25 18:07:30,31.16
2019-11-25 18:07:32,31.13
2019-11-25 18:07:35,31.11
2019-11-25 18:07:37,31.08
2019-11-25 18:07:39,31.06
2019-11-25 18:07:41,31.03
2019-11-25 18:07:43,31.01
2019-11-25 18:07:46,30.99
2019-11-25 18:07:48,30.97
2019-11-25 18:07:50,30.95
2019-11-25 18:07:52,30.92
2019-11-25 18:07:55,30.9
2019-11-25 18:07:57,30.88
2019-11-25 18:07:59,30.86
2019-11-25 18:08:01,30.83
2019-11-25 18:08:03,30.81
2019-11-25 18:08:06,30.79
2019-11-25 18:08:08,30.77
2019-11-25 18:08:10,30.75
2019-11-25 18:08:12,30.73
2019-11-25 18:08:14,30.71
2019-11-25 18:08:17,30.69
2019-11-25 18:08:19,30.67
2019-11-25 18:08:21,30.65
2019-11-25 18:08:23,30.63
2019-11-25 18:08:25,30.61
2019-11-25 18:08:28,30.6
2019-11-25 18:08:30,30.58
2019-11-25 18:08:32,30.56
2019-11-25 18:08:34,30.54
2019-11-25 18:08:36,30.52
2019-11-25 18:08:39,30.51
2019-11-25 18:08:41,30.49
2019-11-25 18:08:43,30.47
2019-11-25 18:08:45,30.46
2019-11-25 18:08:48,30.44
2019-11-25 18:08:50,30.42
2019-11-25 18:08:52,30.41
2019-11-25 18:08:54,30.4
2019-11-25 18:08:56,30.38
2019-11-25 18:08:59,30.36
2019-11-25 18:09:01,30.35
2019-11-25 18:09:03,30.33
2019-11-25 18:09:05,30.32
2019-11-25 18:09:07,30.31
2019-11-25 18:09:09,30.3
2019-11-25 18:09:12,30.28
2019-11-25 18:09:14,30.27
2019-11-25 18:09:16,30.26
2019-11-25 18:09:18,30.24
2019-11-25 18:09:20,30.23
2019-11-25 18:09:23,30.22
2019-11-25 18:09:25,30.21
2019-11-25 18:09:27,30.2
2019-11-25 18:09:29,30.18
2019-11-25 18:09:31,30.17
2019-11-25 18:09:33,30.16
2019-11-25 18:09:36,30.15
2019-11-25 18:09:38,30.13
2019-11-25 18:09:40,30.12
2019-11-25 18:09:42,30.11
2019-11-25 18:09:44,30.1
2019-11-25 18:09:46,30.09
2019-11-25 18:09:49,30.08
2019-11-25 18:09:51,30.07
2019-11-25 18:09:53,30.06
2019-11-25 18:09:55,30.05
2019-11-25 18:09:57,30.04
2019-11-25 18:10:00,30.03
2019-11-25 18:10:02,30.02
2019-11-25 18:10:04,30.01
2019-11-25 18:10:06,30.0
2019-11-25 18:10:08,30.0
2019-11-25 18:10:11,29.98
2019-11-25 18:10:13,29.97
2019-11-25 18:10:15,29.97
2019-11-25 18:10:17,29.96
2019-11-25 18:10:19,29.95
2019-11-25 18:10:21,29.94
2019-11-25 18:10:24,29.93
2019-11-25 18:10:26,29.92
2019-11-25 18:10:28,29.91
2019-11-25 18:10:30,29.9
2019-11-25 18:10:32,29.9
2019-11-25 18:10:35,29.89
2019-11-25 18:10:37,29.88
2019-11-25 18:10:39,29.87
2019-11-25 18:10:41,29.86
2019-11-25 18:10:43,29.86
2019-11-25 18:10:45,29.85
2019-11-25 18:10:48,29.83
2019-11-25 18:10:50,29.83
2019-11-25 18:10:52,29.82
2019-11-25 18:10:54,29.81
2019-11-25 18:10:56,29.81
2019-11-25 18:10:59,29.8
2019-11-25 18:11:01,29.79
2019-11-25 18:11:03,29.78
2019-11-25 18:11:05,29.77
2019-11-25 18:11:07,29.77
2019-11-25 18:11:10,29.76
2019-11-25 18:11:12,29.75
2019-11-25 18:11:14,29.74
2019-11-25 18:11:16,29.73
2019-11-25 18:11:18,29.73
2019-11-25 18:11:21,29.72
2019-11-25 18:11:23,29.71
2019-11-25 18:11:25,29.71
2019-11-25 18:11:27,29.7
2019-11-25 18:11:29,29.69
2019-11-25 18:11:32,29.68
2019-11-25 18:11:34,29.68
2019-11-25 18:11:36,29.67
2019-11-25 18:11:38,29.66
2019-11-25 18:11:40,29.66
2019-11-25 18:11:43,29.65
2019-11-25 18:11:45,29.65
2019-11-25 18:11:47,29.63
2019-11-25 18:11:49,29.63
2019-11-25 18:11:51,29.62
2019-11-25 18:11:54,29.61
2019-11-25 18:11:56,29.61
2019-11-25 18:11:58,29.6
2019-11-25 18:12:00,29.6
2019-11-25 18:12:03,29.58
2019-11-25 18:12:05,29.58
2019-11-25 18:12:07,29.57
2019-11-25 18:12:09,29.57
2019-11-25 18:12:11,29.56
2019-11-25 18:12:14,29.56
2019-11-25 18:12:16,29.55
2019-11-25 18:12:18,29.55
2019-11-25 18:12:20,29.53
2019-11-25 18:12:22,29.53
2019-11-25 18:12:25,29.52
2019-11-25 18:12:27,29.52
2019-11-25 18:12:29,29.51
2019-11-25 18:12:31,29.5
2019-11-25 18:12:33,29.5
2019-11-25 18:12:36,29.49
2019-11-25 18:12:38,29.48
2019-11-25 18:12:40,29.48
2019-11-25 18:12:42,29.47
2019-11-25 18:12:45,29.47
2019-11-25 18:12:47,29.46
2019-11-25 18:12:49,29.45
2019-11-25 18:12:51,29.45
2019-11-25 18:12:53,29.44
2019-11-25 18:12:56,29.43
2019-11-25 18:12:58,29.43
2019-11-25 18:13:00,29.42
2019-11-25 18:13:02,29.42
2019-11-25 18:13:04,29.42
2019-11-25 18:13:07,29.41
2019-11-25 18:13:09,29.4
2019-11-25 18:13:11,29.4
2019-11-25 18:13:13,29.39
2019-11-25 18:13:15,29.38
2019-11-25 18:13:18,29.38
2019-11-25 18:13:20,29.37
2019-11-25 18:13:22,29.37
2019-11-25 18:13:24,29.36
2019-11-25 18:13:27,29.36
2019-11-25 18:13:29,29.35
2019-11-25 18:13:31,29.35
2019-11-25 18:13:33,29.34
2019-11-25 18:13:35,29.33
2019-11-25 18:13:38,29.33
2019-11-25 18:13:40,29.32
2019-11-25 18:13:42,29.32
2019-11-25 18:13:44,29.31
2019-11-25 18:13:46,29.31
2019-11-25 18:13:49,29.3
2019-11-25 18:13:51,29.3
2019-11-25 18:13:53,29.3
2019-11-25 18:13:55,29.29
2019-11-25 18:13:57,29.28
2019-11-25 18:14:00,29.28
2019-11-25 18:14:02,29.27
2019-11-25 18:14:04,29.27
2019-11-25 18:14:06,29.26
2019-11-25 18:14:08,29.26
2019-11-25 18:14:10,29.26
2019-11-25 18:14:13,29.25
2019-11-25 18:14:15,29.25
2019-11-25 18:14:17,29.24
2019-11-25 18:14:19,29.23
2019-11-25 18:14:21,29.23
2019-11-25 18:14:24,29.23
2019-11-25 18:14:26,29.22
2019-11-25 18:14:28,29.22
2019-11-25 18:14:30,29.21
2019-11-25 18:14:32,29.21
2019-11-25 18:14:34,29.21
2019-11-25 18:14:37,29.2
2019-11-25 18:14:39,29.2
2019-11-25 18:14:41,29.19
2019-11-25 18:14:43,29.18
2019-11-25 18:14:45,29.18
2019-11-25 18:14:48,29.18
2019-11-25 18:14:50,29.17
2019-11-25 18:14:52,29.17
2019-11-25 18:14:54,29.17
2019-11-25 18:14:56,29.16
2019-11-25 18:14:58,29.16
2019-11-25 18:15:01,29.15
2019-11-25 18:15:03,29.15
2019-11-25 18:15:05,29.15
2019-11-25 18:15:07,29.13
2019-11-25 18:15:09,29.13
2019-11-25 18:15:12,29.13
2019-11-25 18:15:14,29.12
2019-11-25 18:15:16,29.12
2019-11-25 18:15:18,29.11
2019-11-25 18:15:20,29.11
2019-11-25 18:15:22,29.11
2019-11-25 18:15:25,29.1
2019-11-25 18:15:27,29.1
2019-11-25 18:15:29,29.1
2019-11-25 18:15:31,29.09
2019-11-25 18:15:33,29.08
2019-11-25 18:15:36,29.08
2019-11-25 18:15:38,29.08
2019-11-25 18:15:40,29.07
2019-11-25 18:15:42,29.07
2019-11-25 18:15:44,29.07
2019-11-25 18:15:46,29.06
2019-11-25 18:15:49,29.06
2019-11-25 18:15:51,29.06
2019-11-25 18:15:53,29.05
2019-11-25 18:15:55,29.05
2019-11-25 18:15:57,29.04
2019-11-25 18:16:00,29.03
2019-11-25 18:16:02,29.03
2019-11-25 18:16:04,29.03
2019-11-25 18:16:06,29.02
2019-11-25 18:16:08,29.02
2019-11-25 18:16:10,29.02
2019-11-25 18:16:13,29.01
2019-11-25 18:16:15,29.01
2019-11-25 18:16:17,29.01
2019-11-25 18:16:19,29.0
2019-11-25 18:16:21,29.0
2019-11-25 18:16:24,29.0
2019-11-25 18:16:26,28.99
2019-11-25 18:16:28,28.99
2019-11-25 18:16:30,28.98
2019-11-25 18:16:32,28.98
2019-11-25 18:16:34,28.97
2019-11-25 18:16:37,28.97
2019-11-25 18:16:39,28.97
2019-11-25 18:16:41,28.97
2019-11-25 18:16:43,28.96
2019-11-25 18:16:45,28.96
2019-11-25 18:16:48,28.95
2019-11-25 18:16:50,28.95
2019-11-25 18:16:52,28.95
2019-11-25 18:16:54,28.94
2019-11-25 18:16:56,28.94
2019-11-25 18:16:59,28.93
2019-11-25 18:17:01,28.93
2019-11-25 18:17:03,28.93
2019-11-25 18:17:05,28.92
2019-11-25 18:17:07,28.92
2019-11-25 18:17:09,28.92
2019-11-25 18:17:12,28.91
2019-11-25 18:17:14,28.91
2019-11-25 18:17:16,28.91
2019-11-25 18:17:18,28.91
2019-11-25 18:17:20,28.9
2019-11-25 18:17:23,28.9
2019-11-25 18:17:25,28.89
2019-11-25 18:17:27,28.89
2019-11-25 18:17:29,28.88
2019-11-25 18:17:31,28.88
2019-11-25 18:17:33,28.88
2019-11-25 18:17:36,28.87
2019-11-25 18:17:38,28.87
2019-11-25 18:17:40,28.87
2019-11-25 18:17:42,28.87
2019-11-25 18:17:44,28.86
2019-11-25 18:17:47,28.86
2019-11-25 18:17:49,28.86
2019-11-25 18:17:51,28.85
2019-11-25 18:17:53,28.85
2019-11-25 18:17:55,28.85
2019-11-25 18:17:57,28.84
2019-11-25 18:18:00,28.84
2019-11-25 18:18:02,28.84
2019-11-25 18:18:04,28.83
2019-11-25 18:18:06,28.83
2019-11-25 18:18:08,28.83
2019-11-25 18:18:11,28.83
2019-11-25 18:18:13,28.82
2019-11-25 18:18:15,28.82
2019-11-25 18:18:17,28.82
2019-11-25 18:18:19,28.82
2019-11-25 18:18:21,28.81
2019-11-25 18:18:24,28.81
2019-11-25 18:18:26,28.81
2019-11-25 18:18:28,28.8
2019-11-25 18:18:30,28.8
2019-11-25 18:18:32,28.8
2019-11-25 18:18:35,28.79
2019-11-25 18:18:37,28.79
2019-11-25 18:18:39,28.79
2019-11-25 18:18:41,28.78
2019-11-25 18:18:43,28.78
2019-11-25 18:18:45,28.78
2019-11-25 18:18:48,28.78
2019-11-25 18:18:50,28.77
2019-11-25 18:18:52,28.77
2019-11-25 18:18:54,28.77
