P=2.0 I=0.0 D=0.0
Time,Temperature
2019-11-25 19:03:33,32.06
2019-11-25 19:03:35,32.05
2019-11-25 19:03:37,32.03
2019-11-25 19:03:40,32.02
2019-11-25 19:03:42,32.01
2019-11-25 19:03:44,32.01
2019-11-25 19:03:46,32.0
2019-11-25 19:03:49,31.98
2019-11-25 19:03:51,31.97
2019-11-25 19:03:53,31.97
2019-11-25 19:03:55,31.96
2019-11-25 19:03:57,31.95
2019-11-25 19:04:00,31.94
2019-11-25 19:04:02,31.93
2019-11-25 19:04:04,31.92
2019-11-25 19:04:06,31.92
2019-11-25 19:04:08,31.91
2019-11-25 19:04:11,31.9
2019-11-25 19:04:13,31.9
2019-11-25 19:04:15,31.89
2019-11-25 19:04:17,31.88
2019-11-25 19:04:19,31.87
2019-11-25 19:04:22,31.87
2019-11-25 19:04:24,31.86
2019-11-25 19:04:26,31.86
2019-11-25 19:04:28,31.85
2019-11-25 19:04:30,31.85
2019-11-25 19:04:33,31.84
2019-11-25 19:04:35,31.83
2019-11-25 19:04:37,31.83
2019-11-25 19:04:39,31.83
2019-11-25 19:04:41,31.82
2019-11-25 19:04:44,31.82
2019-11-25 19:04:46,31.82
2019-11-25 19:04:48,31.82
2019-11-25 19:04:50,31.81
2019-11-25 19:04:52,31.81
2019-11-25 19:04:54,31.81
2019-11-25 19:04:57,31.81
2019-11-25 19:04:59,31.81
2019-11-25 19:05:01,31.81
2019-11-25 19:05:03,31.8
2019-11-25 19:05:05,31.8
2019-11-25 19:05:08,31.8
2019-11-25 19:05:10,31.8
2019-11-25 19:05:12,31.8
2019-11-25 19:05:14,31.8
2019-11-25 19:05:16,31.8
2019-11-25 19:05:18,31.81
2019-11-25 19:05:21,31.81
2019-11-25 19:05:23,31.81
2019-11-25 19:05:25,31.81
2019-11-25 19:05:27,31.81
2019-11-25 19:05:29,31.82
2019-11-25 19:05:32,31.82
2019-11-25 19:05:34,31.82
2019-11-25 19:05:36,31.82
2019-11-25 19:05:38,31.83
2019-11-25 19:05:40,31.83
2019-11-25 19:05:42,31.83
2019-11-25 19:05:45,31.83
2019-11-25 19:05:47,31.84
2019-11-25 19:05:49,31.85
2019-11-25 19:05:51,31.85
2019-11-25 19:05:53,31.86
2019-11-25 19:05:56,31.86
2019-11-25 19:05:58,31.86
